Project,Package,Class,Smell,Description,File,Status,Justification
group04,com.group4.backend.config,DataInitializer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused.,/builds/.../DataInitializer.java,Not Refactored,False positive — DataInitializer is a Spring @Component discovered and instantiated by the container at startup via component scanning; Designite's static analysis cannot resolve Spring's runtime dependency injection.
group04,com.group4.backend.config,SpaWebConfig,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused.,/builds/.../SpaWebConfig.java,Not Refactored,False positive — SpaWebConfig is a Spring @Configuration class registered with the application context at runtime; the tool itself advises ignoring smells for classes that serve a specific known purpose.
group04,com.group4.backend.config,RelaxedMailConfig,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused.,/builds/.../RelaxedMailConfig.java,Not Refactored,False positive — RelaxedMailConfig is a Spring @Configuration class that registers a JavaMailSender bean consumed by SmtpEmailService at runtime via dependency injection.
group04,com.group4.backend.config,DatabaseSeeder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused.,/builds/.../DatabaseSeeder.java,Not Refactored,False positive — DatabaseSeeder implements CommandLineRunner and is executed by the Spring Boot application context on startup; the tool cannot detect lifecycle-callback usage.
group04,com.group4.backend.config,DatabaseSeeder.MockInfluencer,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation.,/builds/.../DatabaseSeeder.java,Refactored,Converted the private static inner class MockInfluencer to a Java record (Java 17). A record automatically generates canonical accessor methods (email() / name() / niche() etc.) providing proper encapsulation while keeping the data-holding intent explicit.
group04,com.group4.backend.config,SecurityConfigTest.JwtAndAuthBeans,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation.,/builds/.../SecurityConfigTest.java,Not Refactored,False positive — JwtAndAuthBeans is a JUnit 5 @TestConfiguration inner class that registers test-scoped Spring beans; it intentionally contains no methods since its purpose is to expose beans via @Bean-annotated factory methods detected by Spring.
group04,com.group4.backend.config,SecurityConfigTest.JwtAndAuthBeans,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused.,/builds/.../SecurityConfigTest.java,Not Refactored,False positive — test configuration inner classes are loaded by the Spring test context; they are not referenced by name in code so static analysis cannot detect their usage.
group04,com.group4.backend.controller,SpaControllerTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused.,/builds/.../SpaControllerTest.java,Not Refactored,False positive — SpaControllerTest is a JUnit 5 test class; test classes are discovered and executed by the test runner at build time and are never referenced by application code.
group04,com.group4.backend.dto,BrandProfileRequest,Insufficient Modularization,The class has bloated interface (large number of public methods). Total public methods: 21.,/builds/.../BrandProfileRequest.java,Not Refactored,False positive — the 21 public methods are getters and setters for the DTO's fields following the Java Bean convention. Splitting a DTO would break the API contract; the high method count is structural boilerplate not a genuine cohesion problem.
group04,com.group4.backend.dto,BrandProfileResponse,Insufficient Modularization,The class has bloated interface (large number of public methods). Total public methods: 29.,/builds/.../BrandProfileResponse.java,Not Refactored,False positive — same rationale as BrandProfileRequest; all public methods are Java Bean accessors for response fields serialized to JSON. Splitting would produce artificial partial-response DTOs with no design benefit.
